Titre,Auteur,Editeur,auteur_last_name,auteur_first_name
Alouette,Bourre Martine,Didier jeunesse,Bourre,Martine
"Alpahabêtise, alphabêta",Sadeler Joël,Lo Païs d'Enfance,Sadeler,Joël
Alpha bestiaire (L’),Bernard Cécile,les éditions du mouton cerise,Bernard,Cécile
Alphabet,Pacovska Kveta,Minedition,Pacovska,Kveta
Alphabet fou (l'),Rosensthiel Agnès,Larousse,Rosensthiel,Agnès
Alphabêtisier (L’),Brami Elisabeth,Seuil,Brami,Elisabeth
Alumette,Ungerer Tomi,Ecole des Loisirs,Ungerer,Tomi
Amanda chocolat,Friot Bernard,Milan,Friot,Bernard
"Amani, faiseur de pluie",Roman Ghislaine,Milan jeunesse,Roman,Ghislaine
Amants papillons (Les),Lacombe Benjamin,Seuil jeunesse,Lacombe,Benjamin
Amélie la souris,Krings Anton,Gallimard jeunesse,Krings,Anton
Ami ! Ami ?,Raschka Chris,La joie de lire,Raschka,Chris
Ami du petit tyrannosaure (l'),Seyvos Florence,Ecole des loisirs,Seyvos,Florence
Ami-ami,Rascal,Ecole des Loisirs,Rascal,
"Amour, Beauté et Crottes de nez",Moriceau,Les fourmis rouges,Moriceau,
"Amour, impératif et pistolet",Ben Kemoun Hubert,Thierry Magnier,Ben,Kemoun Hubert
Amoureux du palais de glace (les),Piquemal Michel,Albin Michel jeunesse,Piquemal,Michel
Amoureux grave,Brami Elisabeth,Thierry Magnier,Brami,Elisabeth
Amoureux sont trop bêtes (les),Cali Davide,Sarbacane,Cali,Davide
Ane et la vache (l'),Taïeb el Alj Ahmed,Marsam,Taïeb,el Alj Ahmed
Ane invisible (l'),Chraïbi Driss,Yomad,Chraïbi,Driss
Ane K'hal à la télévision (l'),Chraïbi Driss,Yomad,Chraïbi,Driss
Ange de Grand-Père (l'),Bauer Jutta,Gallimard Jeunesse,Bauer,Jutta
Ange disparu (l'),Ducos Max,Sarbacane,Ducos,Max
Ange ou démon,Boucher Michel,Rouergue,Boucher,Michel
Animal domestique d'Hermès Quichon (l'),Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Animalimages,Miège-Simansky Denise,Le Farfadet bleu,Miège-Simansky,Denise
Animaux d'Afrique (les),Hédelin Pascale,Milan,Hédelin,Pascale
Animaux de l'herbier (les),Lacet Yvonne,Versant Sud,Lacet,Yvonne
Anisia,Le Hir Marion,Kilowatt,Le,Hir Marion
Anna et le gorille,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Anna qui chante,Paoloni Sonia,Biscoto,Paoloni,Sonia
Anne Fine,Cathrine Arnaud,Ecole des Loisirs,Cathrine,Arnaud
Anneau de jade (l'),Conrad Paul,Milan,Conrad,Paul
Annie du lac,Crowther Kitty,Ecole des Loisirs,Crowther,Kitty
Anniversaire (l'),Escoffier Michaël,Ecole des loisirs,Escoffier,Michaël
Anniversaire de Monsieur Guillaume (l'),Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Anthologie de poésie arabe contemporaine,Collectif,Actes Sud,Collectif,
Anthony Browne,Bruel Christian,Etre,Bruel,Christian
Anthony Browne,Browne Anthony et Joe,Ecole des Loisirs,Browne,Anthony et Joe
"Anthony Browne, histoires d'une œuvre",Browne Anthony,Ecole des Loisirs,Browne,Anthony
Anticontes de fées,Solotareff Grégoire,Ecole des Loisirs,Solotareff,Grégoire
Anti-livre de lecture (l'),Brami Elisabeth,Albin Michel,Brami,Elisabeth
Anton est magicien,Könnecke Ole,Ecole des loisirs,Könnecke,Ole
Anton et la feuille,Könnecke Ole,Ecole des Loisirs,Könnecke,Ole
Anton et les filles,Könnecke Ole,Ecole des loisirs,Könnecke,Ole
Anton et les rabat-joie,Könnecke Ole,Ecole des loisirs,Könnecke,Ole
Aoulout,Fondation Zakoura,Yanbow al Kitab,Fondation,Zakoura
Apprendre à lire : échec à l'échec,Charmeux Evelyne,Milan éducation,Charmeux,Evelyne
Apprenti loup (l'),Boujon Claude,Ecole des Loisirs,Boujon,Claude
Après-midi d'une fée (l'),Bouchard André,Seuil jeunesse,Bouchard,André
Aquarium,Fastier Yann,Poisson soluble,Fastier,Yann
Araignée qui ne perd pas son temps (l'),Carle Eric,Mijade,Carle,Eric
Arbre (l'),Montardre Hélène,Mango,Montardre,Hélène
Arbre à miel (l'),Hall Kirsten,La Pastèque,Hall,Kirsten
Arbre de paix (l'),Jonas Anne,Flammarion,Jonas,Anne
Arbre généreux (l'),Silverstein Shel,Ecole des Loisirs,Silverstein,Shel
Arbre mime le vent pour plaire à ses feuilles (l’),Troïanowski Johan,Pluie d’étoiles,Troïanowski,Johan
Arbre qui pense (l'),Queneau Raymond,Rue du Monde,Queneau,Raymond
Arbre sans fin (l'),Ponti Claude,Ecole des Loisirs,Ponti,Claude
"Arbre, le loir et les oiseaux (l')",Mari Iela,Ecole des Loisirs,Mari,Iela
Archiviste du vent,Vincensini Paul,Cherche-midi,Vincensini,Paul
Arcimboldo,Girardet Sylvie,Réunion des musées nationaux,Girardet,Sylvie
Armand chez les Passimpas,Mau Olivier,Syros,Mau,Olivier
Art à la loupe (l'),Harcourt Claire d',Seuil jeunesse,Harcourt,Claire d'
Article 309 du code pénal du jardin,Dedieu Thierry,Seuil,Dedieu,Thierry
Artista que pinto un caballo azul (el),Carle Eric,Kalandraka,Carle,Eric
Arts primitifs entrée libre,Sellier Marie,Nathan,Sellier,Marie
Ascenseur pour le futur,Coste Nadia,Syros,Coste,Nadia
Ascension de Saussure (l'),Zenzius Pierre,Rouergue,Zenzius,Pierre
Aspergus et moi,Lévy Didier,Sarbacane,Lévy,Didier
Assassin habite à côté (l'),Dutruc-Rosset Florence,Syros,Dutruc-Rosset,Florence
Asticots,Friot Bernard,Milan,Friot,Bernard
Astrophysique,Sara,La joie de lire,Sara,
"Attends, Petit Eléphant !",Ashbé Jeanne,Ecole des loisirs,Ashbé,Jeanne
Attends...,Chic Suzy,Didier Jeunesse,Chic,Suzy
Attends-moi !,Garralon Claire,A pas de loups,Garralon,Claire
Attention... Je mords !,Mathis Jean-Marc,Thierry Magnier,Mathis,Jean-Marc
Au bois d'Ardène,Letuffe Anne,Didier Jeunesse,Letuffe,Anne
Au bonheur des comptines,Bruley Marie-Claire,Didier,Bruley,Marie-Claire
"Au boulot, Jojo !",Roxbee Cox Phil,Lis avec moi,Roxbee,Cox Phil
Au bout des rails,Salvi Manuela,Sarbacane,Salvi,Manuela
Au bout du compte,Lejonc Régis,Rouergue,Lejonc,Régis
Au clair de la terre,Collectif,Gautier-Languereau,Collectif,
Au cœur du cœur,Chedid Andrée,Flammarion,Chedid,Andrée
Au commencement,Meunier Henri,Seuil jeunesse,Meunier,Henri
Au dodo dis donc,Delye Pierre,Didier jeunesse,Delye,Pierre
Au feu Petit Pierre,Albert Adrien,Ecole des loisirs,Albert,Adrien
Au jardin,Louchard Antonin,Thierry Magnier,Louchard,Antonin
Au Jardin des plantes,Hugo Victor,Rue du Monde,Hugo,Victor
Au lit dans 10 minutes !,Rathman Peggy,Ecole des loisirs,Rathman,Peggy
Au lit tout le monde !,Poussier Audrey,Ecole des loisirs,Poussier,Audrey
"Au lit, petit monstre !",Ramos Mario,Ecole des loisirs,Ramos,Mario
Au panier !,Meunier Henri,Rouergue,Meunier,Henri
Au pays du Jabouti,Tanaka Béatrice,Réunion des Musées Nationaux,Tanaka,Béatrice
Au petit bonheur la chance,Agopian Annie,Rouergue,Agopian,Annie
Au revoir !,Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
Au revoir blaireau,Varley Susan,Gallimard,Varley,Susan
"Au revoir, Papa",Eeckhout Emmanuelle,Ecole des Loisirs,Eeckhout,Emmanuelle
Au secours des Zulus-Papous,Dedieu Thierry,Seuil,Dedieu,Thierry
"Au secours, voilà le loup !",Ramadier,Ecole des loisirs,Ramadier,
Auberge de Nulle Part (l'),Lewis Jean-Patrick,Gallimard,Lewis,Jean-Patrick
Aucassin et Nicolette,Cadot Colin Anne-Marie,Hachette jeunesse,Cadot,Colin Anne-Marie
Au-delà de moi,Bourgeau Vincent,Thierry Magnier,Bourgeau,Vincent
Aujourd'hui je suis…,Van Hout Mies,Minedition,Van,Hout Mies
Aujourd'hui je t'aime,Doray Malika,Ecole des loisirs,Doray,Malika
Aujourd'hui on va…,Van der Hout Mies,Minedition,Van,der Hout Mies
Auteurs et illustrateurs dans la cité,Collectif,Les Cahiers de la Charte,Collectif,
Auto-stoppeur (l'),Horowitz Anthony,Hachette jeunesse,Horowitz,Anthony
Autre (l'),Pinson Zaza,Ecole des loisirs,Pinson,Zaza
Autre Monsieur Paul (l'),Sadat Mandana,Syros,Sadat,Mandana
Aux commencements,Schubiger Jürg,La joie de lire,Schubiger,Jürg
Aux marches du palais,Mollet Charlotte,Didier jeunesse,Mollet,Charlotte
Aux petits enfants les grands livres,Collectif,Assoc fr pour la lecture,Collectif,
"Avale, Léonardichon !",Vaugelade Anaïs,Ecole des Loisirs,Vaugelade,Anaïs
Avaleur de bobos (l'),Jadoul Emile,Ecole des loisirs,Jadoul,Emile
Avant d'être un bébé,Paris Hugues,Rouergue,Paris,Hugues
Avant la télé,Pommaux Yvan,Ecole des Loisirs,Pommaux,Yvan
"Avec Jeanne Ashbé, nourrissons les bébés",Chérer Sophie,Ecole des Loisirs,Chérer,Sophie
Avec le temps,Minhos Martins Isabel,Thierry Magnier,Minhos,Martins Isabel
Avec quelques briques,Godeau Vincent,L'agrume,Godeau,Vincent
Avec trois brins de laine,Cristina Henriqueta,Ed. des Elephants,Cristina,Henriqueta
Aventures de la petite souris (les),Cone Bryant Sara,MeMo,Cone,Bryant Sara
Aventures de Lester (les),Könnecke Ole,Ecole des loisirs,Könnecke,Ole
Aventures de Renart le goupil (les),Coppin Brigitte,Tourbillon,Coppin,Brigitte
Aventures de Tom Pouce (les),Kerloch' Jean Pierre,Milan,Kerloch',Jean Pierre
Aventures de Tom Sawyer (les),Twain Mark,France Loisirs,Twain,Mark
Aventures d'une petite bulle rouge (les),Mari Iela,Ecole des Loisirs,Mari,Iela
Azur et Asmar,Ocelot Michel,Nathan,Ocelot,Michel
Baboon,Banks Kate,Gallimard Jeunesse,Banks,Kate
Babouches d'Abou Kassem (les),Aceval Nora,Seuil jeunesse,Aceval,Nora
Bagdan et la louve aux yeux d'or,Roman Ghislaine,Seuil jeunesse,Roman,Ghislaine
Baguette magique de Pélagie (la),Thomas Valérie,Milan,Thomas,Valérie
Bain d'Abel (le),Poussier Audrey,Ecole des loisirs,Poussier,Audrey
Bal des sorcières (le),Surget Alain,Rageot,Surget,Alain
Balaabilou,Le Clézio JMG,Gallimard,Le,Clézio JMG
Ballade de Cornebique (la),Mourlevat Jean Claude,Gallimard,Mourlevat,Jean Claude
Ballade de Kiki le coq et Cucue la poule (la),Piquemal Michel,La Martinière,Piquemal,Michel
Ballade de Mulan (la),Yeh Chun-Liang,Hong Fei,Yeh,Chun-Liang
Ballade en tête,Clément Claude,Lo Païs d'Enfance,Clément,Claude
Balthazar !,Pennart Geoffroy de,Ecole des loisirs,Pennart,Geoffroy de
Banquise blues,John Jory,Gallimard jeunesse,John,Jory
Banzaï Sakura,Dellamarre Bellego V,Oskar jeunesse,Dellamarre,Bellego V
Barbe-bleue (la),Dedieu Thierry,Seuil,Dedieu,Thierry
Bateau de Monsieur Zougloglou (le),Promeyrat Coline,Didier jeunesse,Promeyrat,Coline
Bateau de Monsieur Zougloglou (le),Promeyrat Coline,Didier jeunesse,Promeyrat,Coline
Bateau la terre (le),Prévert Jacques,Rue du monde,Prévert,Jacques
Bateau sur l'eau,Bourre Martine,Didier jeunesse,Bourre,Martine
Bateau vert (le),Blake Quentin,Gallimard,Blake,Quentin
Bazar bizarre,Lecointre Jean,Thierry Magnier,Lecointre,Jean
Béatrice Smajda,Chérer Sophie,Ecole des Loisirs,Chérer,Sophie
Beau et bon,Baer Julien,Hélium,Baer,Julien
Beau ver dodu (le),Van Laan Nancy,Ecole des Loisirs,Van,Laan Nancy
Beaucoup de beaux bébés,Ellwand David,Ecole des Loisirs,Ellwand,David
Bébé bonbon (le),Ponti Claude,Ecole des Loisirs,Ponti,Claude
"Bébé lézard, bébé bizarre",Kang Hye-sook,Rue du Monde,Kang,Hye-sook
Bébert l'escargot,Dumont Jean-François,Ecole des Loisirs,Dumont,Jean-François
Bébés Chouettes,Waddell Martin,Ecole des Loisirs,Waddell,Martin
Belle et la Bête (la),Leprince de Beaumont,Casterman,Leprince,de Beaumont
Belle lisse poire du prince de Motordu (la),Pef,Gallimard,Pef,
Belles histoires du Père Castor (les),Collectif,France Loisirs,Collectif,
Bergère qui mangeait ses moutons (la),Lecaye Alexis,Ecole des Loisirs,Lecaye,Alexis
Bête comme ses pieds,Dumont Jean-François,Ecole des Loisirs,Dumont,Jean-François
Bête de mon jardin (la),David Gauthier,Seuil jeunesse,David,Gauthier
Bêtes curieuses (les),David François,MØtus,David,François
Bêtes noires ont bon dos (les),Serres Alain,Rue du monde,Serres,Alain
Bibi,Elzbieta,Ecole des Loisirs,Elzbieta,
Bidou,Deacon Alexis,Ecole des Loisirs,Deacon,Alexis
Bientôt,Meunier Henri,Rouergue,Meunier,Henri
Bienvenue,Frier Raphaële,A pas de loups,Frier,Raphaële
Bienvenus,Barroux,Ecole des Loisirs,Barroux,
Big bang pop !,Cantais Claire,Atelier du poisson soluble,Cantais,Claire
Bigarreaux noirs (les),Nottet Pascal,Ecole des Loisirs,Nottet,Pascal
Bili-Bili,Chen Chih-Yuan,Casterman,Chen,Chih-Yuan
Bille d'Idriss (la),Gouichoux René,Rue du monde,Gouichoux,René
Billy se bile,Browne Anthony,Ecole des Loisirs,Browne,Anthony
Bison (le),Valckx Catharina,Ecole des loisirs,Valckx,Catharina
Bizardos (les),Ahlberg Janet et Allan,Gallimard,Ahlberg,Janet et Allan
Bizarre… bizarre,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Blaise dompteur de tache,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Blaise et la tempétueuse bouchée,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Blaise et le château d'Anne Hiversère,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Blaise et le robinet,Ponti Claude,Ecole des Loisirs,Ponti,Claude
Blanc sur noir,Hoban Tana,Ecole des Loisirs,Hoban,Tana
Blanche Neige,Perrault Charles,Ecole des Loisirs,Perrault,Charles
Blancheneige,Grimm Jakob et Willhelm,Le Genevrier,Grimm,Jakob et Willhelm
Bloub bloub bloub,Kasano Yuchi,Ecole des loisirs,Kasano,Yuchi
Bob et Marley. L'hôtel à insectes,Marais Frédéric,Seuil,Marais,Frédéric
Bob et Marley. Un métier,Marais Frédéric,Seuil,Marais,Frédéric
Boîte (la),Ponti Claude,Ecole des Loisirs,Ponti,Claude
Boîte à images (la),Houdart Emmanuelle,Thierry Magnier,Houdart,Emmanuelle
Boîte des papas (la),Le Saux Alain,Ecole des loisirs,Le,Saux Alain
Bon appétit,Lear Edward,Rue du Monde,Lear,Edward
Bon appétit ! Monsieur Lapin,Boujon Claude,Ecole des loisirs,Boujon,Claude
Bon canapé (le),Kuo Fifi,Albin Michel,Kuo,Fifi
Bon voyage petite goutte,Crausaz Anne,MeMo,Crausaz,Anne
"Bon voyage, petit bisou !",Monari Manuela,Rue du monde,Monari,Manuela
Bonheur (le),Fort Paul,Rue du Monde,Fort,Paul
Bonheur est coincé dans la tête (le),Morgenstern Susie,Ecole des Loisirs,Morgenstern,Susie
Bonheur est coincé dans la tête (le),Morgenstern Susie,Ecole des Loisirs,Morgenstern,Susie
Bonheur est dans le pré (le),Fort Paul,Flammarion,Fort,Paul
Boniface et Philibert,Pennart Geoffroy de,Ecole des loisirs,Pennart,Geoffroy de
Bonjour bébé,Brami Elisabeth,Seuil jeunesse,Brami,Elisabeth
Bonjour docteur,Escoffier Michaël,Ecole des loisirs,Escoffier,Michaël
Bonjour facteur,Escoffier Michaël,Ecole des loisirs,Escoffier,Michaël
Bonjour les animaux,Crausaz Anne,MeMo,Crausaz,Anne
Bonjour pantin,Géhin Elisa,Hélium,Géhin,Elisa
Bonjour Tommy,Berner Rotraut Suzanne,Seuil,Berner,Rotraut Suzanne
Bonjour toucan,Dwell Studio,Hélium,Dwell,Studio
"Bonjour, poussin",Ginsburg Mirra,Ecole des Loisirs,Ginsburg,Mirra
Bonne bouillie (la),Promeyrat Coline,Didier jeunesse,Promeyrat,Coline
Bonne nuit hibou,Hutchins Pat,Circonflexe,Hutchins,Pat
Bonne nuit tout le monde,Haughton Chris,Thierry Magnier,Haughton,Chris
"Bonne nuit, Julien!",Hirsching Nicolas de,Bayard,Hirsching,Nicolas de
"Bonne nuit, petit monstre vert !",Emberley Ed,Ecole des Loisirs,Emberley,Ed
"Bonne nuit, Spot ?",Hill Eric,Nathan,Hill,Eric
Bonne pêche,Dedieu Thierry,Seuil jeunesse,Dedieu,Thierry
Bonnes nouvelles de…,Grenier Christian,SEDRAP,Grenier,Christian
Bonnes nouvelles de…,Lenain Thierry,SEDRAP,Lenain,Thierry
Bonnes nouvelles de…,Scotto Thomas,SEDRAP,Scotto,Thomas
Bonnet Rouge (le),Weninger Brigitte,Minedition,Weninger,Brigitte
Bossu et le Ninki-Nanka (le),Cissé Mamadou,L'Harmattan,Cissé,Mamadou
Bou et les trois zours,Valentin Elsa,Poisson soluble,Valentin,Elsa
Boubou et grand-père,Hahn Cyril,Casterman,Hahn,Cyril
Bouche cousue,"Matéo Pepito, Bigot Gigi",Didier Jeunesse,Matéo,Pepito  Bigot Gigi
Bouche pleine (la),Friot Bernard,Milan,Friot,Bernard
Boucle d'or,Parot Annelore,Milan jeunesse,Parot,Annelore
Boucle d'or et les trois ours,Douzou Olivier,Rouergue,Douzou,Olivier
Boucle d'or et les trois ours,Celli Rose,Flammarion,Celli,Rose
Boucle d'ours,Servant Stéphane,Didier jeunesse,Servant,Stéphane
Bouh !,Soutif François,Ecole des Loisirs,Soutif,François
Bracelet de cristal (le),Folika,Oskar jeunesse,Folika,
Bravo !,Könnecke Ole,Ecole des loisirs,Könnecke,Ole
Brica da brac !,Crozon Alain,Les Grandes personnes,Crozon,Alain
Bric-à-Brac,Jalibert Maria,Didier jeunesse,Jalibert,Maria
Brigitte Smadja,Chérer Sophie,Ecole des Loisirs,Chérer,Sophie
"Brigitte, la brebis qui n'avait peur de rien",Victor Sylvain,Thierry Magnier,Victor,Sylvain
Brindille,Courgeon Rémi,Milan,Courgeon,Rémi
Bronto mégalo saure,Cali Davide,Sarbacane,Cali,Davide
Brouille (la),Boujon Claude,Ecole des Loisirs,Boujon,Claude
Broutille,Herbauts Anne,Casterman,Herbauts,Anne
"Brown bear, brown bear, what do you see ?",Martin Bill,Penguin books,Martin,Bill
Bruits,Bataille Marion,Thierry Magnier,Bataille,Marion
Buffle et l’Oiseau (le),Zarcate Catherine,Syros,Zarcate,Catherine
Bureau des papas perdus (le),Veille Eric,Actes Sud junior,Veille,Eric
Bus de Rosa (le),Silei Fabrizio,Sarbacane/Amnesty,Silei,Fabrizio
Bus en goguette,Rodari Gianni,La joie de lire,Rodari,Gianni
Butinages,Herbreteau Gaston,Soc et foc,Herbreteau,Gaston
Buveur de pluie (le),Diallo Boubacar,La compagnie Créative,Diallo,Boubacar
C P Ça veut dire quoi ?,Manceau Edouard,Milan,Manceau,Edouard
Ça dépend,Coat Janik,Hélium,Coat,Janik
Ça fait peur !,Ashbé Jeanne,Ecole des Loisirs,Ashbé,Jeanne
